NAME	UNIPROT	ACTIVES	INACTIVES	RATIO		
Renin	P00797	1959	63939	33		
Adenosine deaminase	P00813	34	367770	10817		
Carbonic anhydrase 1	P00915	1636	20	0		
Carbonic anhydrase 2	P00918	2884	36	0		
Proto-oncogene c-Fos	P01100	23	433648	18854		
GTPase HRas	P01112	29	367679	12679		
Natriuretic peptides A	P01160	10	364327	36433		
Tumor necrosis factor	P01375	48	362667	7556		
Acetylcholine receptor subunit alpha	P02708	15	104	7		
Estrogen receptor	P03372	1183	448492	379		
Coagulation factor XI	P03951	40	219161	5479		
Plasma kallikrein	P03952	74	217816	2943		
Interstitial collagenase	P03956	1358	37	0		
3-hydroxy-3-methylglutaryl-coenzyme A reductase	P04035	151	64796	429		
RAF proto-oncogene serine/threonine-protein kinase	P04049	300	502842	1676		
Phospholipase A2	P04054	69	561	8		
Glucosylceramidase	P04062	68	305036	4486		
Tissue alpha-L-fucosidase	P04066	38	1	0		
Vitamin K-dependent protein C	P04070	17	214996	12647		
Apolipoprotein B-100	P04114	42	451169	10742		
Glucocorticoid receptor	P04150	1456	477727	328		
"HLA class II histocompatibility antigen, DRB1-1 beta chain"	P04229	32	0	0		
HLA class II histocompatibility antigen gamma chain	P04233	11	300467	27315		
Sex hormone-binding globulin	P04278	53	341823	6449		
Tubulin beta-4A chain	P04350	25	156872	6275		
"HLA class I histocompatibility antigen, A-3 alpha chain"	P04439	16	0	0		
Receptor tyrosine-protein kinase erbB-2	P04626	902	377378	418		
High affinity nerve growth factor receptor	P04629	314	368884	1175		
Calpain small subunit 1	P04632	52	20	0		
Cellular tumor antigen p53	P04637	90	573763	6375		
Thymidylate synthase	P04818	266	61	0		
Amyloid beta A4 protein	P05067	175	433253	2476		
"Aldehyde dehydrogenase, mitochondrial"	P05091	24	0	0		
"Steroid 17-alpha-hydroxylase/17,20 lyase"	P05093	252	76	0		
Integrin beta-3	P05106	1793	370716	207		
Integrin beta-2	P05107	305	113783	373		
Plasminogen activator inhibitor 1	P05121	53	215540	4067		
Protein kinase C gamma type	P05129	147	411486	2799		
Myeloperoxidase	P05164	53	10	0		
Cytochrome P450 1A2	P05177	10	3464	346		
"Alkaline phosphatase, tissue-nonspecific isozyme"	P05186	67	196194	2928		
Intercellular adhesion molecule 1	P05362	405	366770	906		
Transcription factor AP-1	P05412	61	448230	7348		
"Fatty acid-binding protein, heart"	P05413	12	1	0		
Integrin beta-1	P05556	1114	346964	311		
Protein kinase C beta type	P05771	200	442158	2211		
Insulin receptor	P06213	318	374353	1177		
Tyrosine-protein kinase Lck	P06239	1190	429564	361		
Tyrosine-protein kinase Fyn	P06241	233	429298	1842		
Cholinesterase	P06276	464	81	0		
Progesterone receptor	P06401	1219	362920	298		
Cyclin-dependent kinase 1	P06493	927	426447	460		
Eukaryotic translation initiation factor 4E	P06730	10	214887	21489		
Low affinity immunoglobulin epsilon Fc receptor	P06734	43	92340	2147		
"Glycogen phosphorylase, liver form"	P06737	342	0	0		
Nucleophosmin	P06748	25	419318	16773		
Integrin alpha-V	P06756	1026	363802	355		
Kallikrein-1	P06870	33	0	0		
Prostate-specific antigen	P07288	24	48	2		
Tyrosine-protein kinase Fes/Fps	P07332	61	223627	3666		
Macrophage colony-stimulating factor 1 receptor	P07333	708	830	1		
Cathepsin D	P07339	442	195395	442		
Calpain-1 catalytic subunit	P07384	435	398998	917		
Tubulin beta chain	P07437	25	510418	20417		
Trypsin-1	P07477	604	13	0		
Trypsin-2	P07478	96	192944	2010		
Acetylcholine receptor subunit gamma	P07510	13	97	7		
Beta-2 adrenergic receptor	P07550	791	361135	457		
Cathepsin L1	P07711	631	302279	479		
Cathepsin B	P07858	390	152106	390		
Heat shock protein HSP 90-alpha	P07900	262	432911	1652		
Tyrosine-protein kinase Yes	P07947	57	214998	3772		
Tyrosine-protein kinase Lyn	P07948	295	386172	1309		
Proto-oncogene tyrosine-protein kinase receptor Ret	P07949	367	385427	1050		
Insulin-like growth factor 1 receptor	P08069	729	449383	616		
Muscarinic acetylcholine receptor M2	P08172	788	3587	5		
Muscarinic acetylcholine receptor M4	P08173	235	357242	1520		
Multidrug resistance protein 1	P08183	274	192949	704		
Mineralocorticoid receptor	P08235	307	300240	978		
Heat shock protein HSP 90-beta	P08238	245	421255	1719		
Neutrophil elastase	P08246	898	304253	339		
72 kDa type IV collagenase	P08253	1931	364178	189		
Stromelysin-1	P08254	1195	47	0		
Cathepsin G	P08311	50	338284	6766		
Neprilysin	P08473	232	25	0		
Integrin alpha-IIb	P08514	1007	369483	367		
Receptor-type tyrosine-protein phosphatase C	P08575	57	214303	3760		
Hepatocyte growth factor receptor	P08581	1242	380431	306		
Beta-1 adrenergic receptor	P08588	730	334663	458		
Tyrosine-protein kinase HCK	P08631	192	379042	1974		
Integrin alpha-5	P08648	109	330028	3028		
Coagulation factor VII	P08709	417	117	0		
Steryl-sulfatase	P08842	153	8	0		
5-hydroxytryptamine receptor 1A	P08908	2168	189541	87		
Muscarinic acetylcholine receptor M5	P08912	142	357194	2515		
Alpha-2A adrenergic receptor	P08913	379	337993	892		
Proto-oncogene tyrosine-protein kinase ROS	P08922	117	352750	3015		
Glutathione S-transferase P	P09211	10	51	5		
Matrilysin	P09237	191	5280	28		
"Fructose-1,6-bisphosphatase 1"	P09467	205	82161	401		
Platelet-derived growth factor receptor beta	P09619	676	391301	579		
Pro-cathepsin H	P09668	13	0	0		
Tyrosine-protein kinase Fgr	P09769	22	412880	18767		
Complement C1s subcomponent	P09871	73	61953	849		
Poly [ADP-ribose] polymerase 1	P09874	1105	419936	380		
Arachidonate 5-lipoxygenase	P09917	846	90655	107		
Furin	P09958	63	352224	5591		
Leukotriene A-4 hydrolase	P09960	360	12	0		
Cytosolic phospholipase A2 beta	P0C869	22	1	0		
Pepsin A-5	P0DJD9	15	0	0		
Granzyme B	P10144	19	332985	17526		
Interleukin-8	P10145	17	300795	17694		
Androgen receptor	P10275	1025	448873	438		
Retinoic acid receptor alpha	P10276	106	366727	3460		
Acrosin	P10323	24	0	0		
Apoptosis regulator Bcl-2	P10415	257	456298	1775		
Lysosomal protective protein	P10619	29	38	1		
Microtubule-associated protein tau	P10636	25	435949	17438		
Mast/stem cell growth factor receptor Kit	P10721	632	372968	590		
Retinoic acid receptor beta	P10826	157	358105	2281		
Thyroid hormone receptor alpha	P10827	163	362829	2226		
Thyroid hormone receptor beta	P10828	261	269603	1033		
Phenylethanolamine N-methyltransferase	P11086	61	0	0		
"Glycogen phosphorylase, muscle form"	P11217	71	0	0		
Muscarinic acetylcholine receptor M1	P11229	780	355448	456		
Acetylcholine receptor subunit beta	P11230	13	93	7		
Breakpoint cluster region protein	P11274	156	510252	3271		
Serine/threonine-protein kinase pim-1	P11309	704	380755	541		
Fibroblast growth factor receptor 1	P11362	594	372561	627		
DNA topoisomerase 1	P11387	153	444274	2904		
Vitamin D3 receptor	P11473	102	426689	4183		
Steroid hormone receptor ERR1	P11474	82	376790	4595		
Aromatase	P11511	712	5549	8		
Cholesteryl ester transfer protein	P11597	404	1	0		
Cyclin-dependent kinase 4	P11802	644	416898	647		
Inosine-5'-monophosphate dehydrogenase 2	P12268	417	348466	836		
Bone morphogenetic protein 4	P12644	13	336444	25880		
Angiotensin-converting enzyme	P12821	306	20	0		
Proto-oncogene tyrosine-protein kinase Src	P12931	1467	495528	338		
Bone morphogenetic protein 1	P13497	297	6	0		
C-C motif chemokine 2	P13500	22	91	4		
C-C motif chemokine 5	P13501	27	77	3		
Cystic fibrosis transmembrane conductance regulator	P13569	68	379656	5583		
Integrin alpha-4	P13612	1226	347340	283		
Retinoic acid receptor gamma	P13631	135	404182	2994		
Tissue factor	P13726	226	130	1		
"Glycogen [starch] synthase, muscle"	P13807	14	302759	21626		
Sodium/glucose cotransporter 1	P13866	103	239808	2328		
Beta-3 adrenergic receptor	P13945	1105	347239	314		
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1	P14060	13	0	0		
Estradiol 17-beta-dehydrogenase 1	P14061	194	140	1		
Cathepsin E	P14091	32	127921	3998		
Macrophage migration inhibitory factor	P14174	28	419777	14992		
Perforin-1	P14222	12	0	0		
Farnesyl pyrophosphate synthase	P14324	99	31	0		
"Sucrase-isomaltase, intestinal"	P14410	25	64746	2590		
D(2) dopamine receptor	P14416	2755	401225	146		
"Phospholipase A2, membrane associated"	P14555	173	146594	847		
Pyruvate kinase PKM	P14618	33	261958	7938		
G2/mitotic-specific cyclin-B1	P14635	337	402195	1193		
Tyrosinase	P14679	10	1	0		
Matrix metalloproteinase-9	P14780	1641	528	0		
Gamma-aminobutyric acid receptor subunit alpha-1	P14867	594	33	0		
"Indoleamine 2,3-dioxygenase 1"	P14902	54	73	1		
D-amino-acid oxidase	P14920	75	2	0		
Serine/threonine-protein kinase B-raf	P15056	408	452006	1108		
Carboxypeptidase B	P15086	19	0	0		
"Fatty acid-binding protein, adipocyte"	P15090	48	356688	7431		
Aldose reductase	P15121	408	1	0		
Aminopeptidase N	P15144	51	0	0		
15-hydroxyprostaglandin dehydrogenase [NAD(+)]	P15428	58	121905	2102		
"Cytochrome P450 11B1, mitochondrial"	P15538	337	0	0		
NAD(P)H dehydrogenase [quinone] 1	P15559	56	415264	7415		
"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform"	P15735	58	16	0		
Arachidonate 15-lipoxygenase	P16050	60	66830	1114		
Ribosyldihydronicotinamide dehydrogenase [quinone]	P16083	119	61	1		
P-selectin	P16109	19	37	2		
Platelet-derived growth factor receptor alpha	P16234	391	375810	961		
Dipeptidase 1	P16444	10	0	0		
Methylated-DNA--protein-cysteine methyltransferase	P16455	30	64921	2164		
"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha"	P16499	49	0	0		
E-selectin	P16581	106	383440	3617		
Tyrosine-protein kinase Fer	P16591	115	227221	1976		
UDP-glucuronosyltransferase 2B7	P16662	15	11381	759		
Protein kinase C alpha type	P17252	376	556894	1481		
Integrin alpha-2	P17301	16	329633	20602		
Chymotrypsinogen B	P17538	34	18	1		
cAMP-dependent protein kinase catalytic subunit alpha	P17612	299	438735	1467		
Calpain-2 catalytic subunit	P17655	136	369218	2715		
Tyrosine-protein phosphatase non-receptor type 2	P17706	138	347121	2515		
S-adenosylmethionine decarboxylase proenzyme	P17707	11	3	0		
Tryptophan 5-hydroxylase 1	P17752	45	217687	4837		
Neuronal acetylcholine receptor subunit beta-2	P17787	418	128	0		
X-box-binding protein 1	P17861	40	92845	2321		
Galectin-3	P17931	16	2189	137		
Insulin-like growth factor-binding protein 3	P17936	39	342744	8788		
Vascular endothelial growth factor receptor 1	P17948	805	373758	464		
Tyrosine-protein phosphatase non-receptor type 1	P18031	557	417486	750		
"Arachidonate 12-lipoxygenase, 12S-type"	P18054	25	184799	7392		
Integrin beta-5	P18084	134	67	1		
Alpha-2B adrenergic receptor	P18089	189	213682	1131		
3-oxo-5-alpha-steroid 4-dehydrogenase 1	P18405	287	11	0		
Receptor-type tyrosine-protein phosphatase alpha	P18433	13	128	10		
Gamma-aminobutyric acid receptor subunit gamma-2	P18507	811	418	1		
Integrin beta-6	P18564	62	3	0		
Alpha-2C adrenergic receptor	P18825	321	216761	675		
"Cytochrome P450 11B2, mitochondrial"	P19099	411	4	0		
Vascular cell adhesion protein 1	P19320	28	331382	11835		
"Troponin I, cardiac muscle"	P19429	17	332138	19538		
Tumor necrosis factor receptor superfamily member 1A	P19438	18	414633	23035		
"Interferon-induced, double-stranded RNA-activated protein kinase"	P19525	20	434102	21705		
Sodium/hydrogen exchanger 1	P19634	140	175736	1255		
Casein kinase II subunit alpha'	P19784	48	422239	8797		
Retinoic acid receptor RXR-alpha	P19793	307	435869	1420		
Nuclear factor NF-kappa-B p105 subunit	P19838	171	425283	2487		
Thymidine phosphorylase	P19971	21	16	1		
Gastricsin	P20142	16	0	0		
Cyclin-A2	P20248	526	415670	790		
Arachidonate 5-lipoxygenase-activating protein	P20292	233	34	0		
Muscarinic acetylcholine receptor M3	P20309	806	101	0		
Nuclear receptor subfamily 1 group D member 1	P20393	45	359381	7986		
Potassium-transporting ATPase alpha chain 1	P20648	77	0	0		
Integrin alpha-L	P20701	339	27	0		
Inosine-5'-monophosphate dehydrogenase 1	P20839	56	10	0		
Amine oxidase [flavin-containing] A	P21397	248	453	2		
Substance-K receptor	P21452	450	4	0		
Sphingosine 1-phosphate receptor 1	P21453	838	382638	457		
fMet-Leu-Phe receptor	P21462	58	330472	5698		
Cannabinoid receptor 1	P21554	2330	335422	144		
Ephrin type-A receptor 1	P21709	12	0	0		
D(1A) dopamine receptor	P21728	442	357927	810		
C5a anaphylatoxin chemotactic receptor 1	P21730	141	333462	2365		
Thromboxane A2 receptor	P21731	603	213658	354		
Fibroblast growth factor receptor 2	P21802	89	362592	4074		
Ryanodine receptor 1	P21817	10	67251	6725		
D(4) dopamine receptor	P21917	1336	16	0		
D(1B) dopamine receptor	P21918	113	380	3		
Catechol O-methyltransferase	P21964	11	2	0		
Protein-glutamine gamma-glutamyltransferase 2	P21980	146	425046	2911		
Potassium voltage-gated channel subfamily A member 3	P22001	190	7	0		
Trifunctional purine biosynthetic protein adenosine-3	P22102	32	15	0		
Acetylcholinesterase	P22303	1060	193058	182		
Fibroblast growth factor receptor 4	P22455	51	375839	7369		
Potassium voltage-gated channel subfamily A member 5	P22460	333	102	0		
Fibroblast growth factor receptor 3	P22607	162	202368	1249		
cAMP-dependent protein kinase catalytic subunit gamma	P22612	30	0	0		
cAMP-dependent protein kinase catalytic subunit beta	P22694	34	337578	9929		
Nuclear receptor subfamily 4 group A member 1	P22736	11	471383	42853		
Carbonic anhydrase 4	P22748	115	1	0		
Lutropin-choriogonadotropic hormone receptor	P22888	12	354459	29538		
Neutrophil collagenase	P22894	678	3	0		
Liver carboxylesterase 1	P23141	139	44	0		
Prostaglandin G/H synthase 1	P23219	258	45	0		
Carbonic anhydrase 6	P23280	55	0	0		
Ribosomal protein S6 kinase beta-1	P23443	274	415390	1516		
Tyrosine-protein kinase JAK1	P23458	305	387201	1270		
Receptor-type tyrosine-protein phosphatase beta	P23467	35	38	1		
Adenosylhomocysteinase	P23526	48	5	0		
Ribonucleoside-diphosphate reductase large subunit	P23921	35	156879	4482		
Follicle-stimulating hormone receptor	P23945	33	323508	9803		
Chymase	P23946	252	30	0		
Sodium-dependent noradrenaline transporter	P23975	1634	26	0		
G1/S-specific cyclin-D1	P24385	476	421271	885		
Endothelin B receptor	P24530	494	10	0		
Thromboxane-A synthase	P24557	570	3	0		
Protein kinase C eta type	P24723	162	195668	1208		
G1/S-specific cyclin-E1	P24864	620	381691	616		
Cyclin-dependent kinase 2	P24941	1979	422731	214		
Histamine H2 receptor	P25021	77	23	0		
C-X-C chemokine receptor type 1	P25024	133	3968	30		
C-X-C chemokine receptor type 2	P25025	389	348863	897		
N-formyl peptide receptor 2	P25090	36	25602	711		
Beta-adrenergic receptor kinase 1	P25098	12	373687	31141		
Alpha-1D adrenergic receptor	P25100	561	3	0		
Endothelin-1 receptor	P25101	1020	23	0		
Substance-P receptor	P25103	1763	25	0		
Platelet-activating factor receptor	P25105	295	381055	1292		
Atypical chemokine receptor 3	P25106	16	1	0		
Proteinase-activated receptor 1	P25116	407	307366	755		
Bromodomain-containing protein 2	P25440	15	42	3		
Cathepsin S	P25774	1184	365972	309		
Neuropeptide Y receptor type 1	P25929	362	215852	596		
Integrin beta-7	P26010	330	325165	985		
"Threonine--tRNA ligase, cytoplasmic"	P26639	15	0	0		
Amine oxidase [flavin-containing] B	P27338	599	239	0		
Mitogen-activated protein kinase 3	P27361	33	469332	14222		
MAP/microtubule affinity-regulating kinase 3	P27448	132	304395	2306		
Dipeptidyl peptidase 4	P27487	2410	64	0		
Deoxycytidine kinase	P27707	84	11	0		
"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"	P27815	561	18	0		
Phosphatidylinositol 3-kinase regulatory subunit alpha	P27986	100	479599	4796		
Proteasome subunit beta type-8	P28062	10	1	0		
Proteasome subunit beta type-5	P28074	80	342118	4276		
5-hydroxytryptamine receptor 1D	P28221	829	81108	98		
5-hydroxytryptamine receptor 1B	P28222	729	64727	89		
5-hydroxytryptamine receptor 2A	P28223	1685	325795	193		
5-hydroxytryptamine receptor 2C	P28335	1469	124	0		
Neuromedin-B receptor	P28336	61	0	0		
Gamma-aminobutyric acid receptor subunit beta-3	P28472	782	14	0		
Mitogen-activated protein kinase 1	P28482	148	480015	3243		
Retinoic acid receptor RXR-beta	P28702	98	415966	4245		
DNA repair protein complementing XP-G cells	P28715	32	26	1		
Cytosol aminopeptidase	P28838	22	45	2		
Corticosteroid 11-beta-dehydrogenase isozyme 1	P28845	1509	32	0		
Adenosine receptor A2a	P29274	2403	400917	167		
Adenosine receptor A2b	P29275	1267	34	0		
Ephrin type-A receptor 2	P29317	106	358770	3385		
Ephrin type-A receptor 3	P29320	12	429577	35798		
Ephrin type-B receptor 2	P29323	11	359189	32654		
Neuromedin-K receptor	P29371	369	10	0		
Leukocyte tyrosine kinase receptor	P29376	106	151	1		
Transketolase	P29401	43	0	0		
Caspase-1	P29466	380	432466	1138		
"Nitric oxide synthase, endothelial"	P29474	87	362803	4170		
"Nitric oxide synthase, brain"	P29475	334	341845	1023		
Non-receptor tyrosine-protein kinase TYK2	P29597	243	194528	801		
G1/S-specific cyclin-D2	P30279	109	343373	3150		
G1/S-specific cyclin-D3	P30281	116	424374	3658		
Wee1-like protein kinase	P30291	240	488904	2037		
M-phase inducer phosphatase 1	P30304	15	407041	27136		
M-phase inducer phosphatase 2	P30305	47	225025	4788		
B2 bradykinin receptor	P30411	319	323475	1014		
Glycylpeptide N-tetradecanoyltransferase 1	P30419	15	365098	24340		
Vasopressin V2 receptor	P30518	342	339620	993		
Tyrosine-protein kinase receptor UFO	P30530	218	362835	1664		
Sodium- and chloride-dependent GABA transporter 1	P30531	39	5	0		
Translocator protein	P30536	12	1	0		
Adenosine receptor A1	P30542	2055	387934	189		
Gastrin-releasing peptide receptor	P30550	17	0	0		
Type-1 angiotensin II receptor	P30556	363	372916	1027		
Oxytocin receptor	P30559	347	320139	923		
Somatostatin receptor type 1	P30872	43	3	0		
Somatostatin receptor type 2	P30874	148	223868	1513		
Neuronal acetylcholine receptor subunit beta-4	P30926	125	174	1		
5-hydroxytryptamine receptor 1F	P30939	91	0	0		
Gonadotropin-releasing hormone receptor	P30968	919	1	0		
Neurotensin receptor type 1	P30989	72	327007	4542		
3-oxo-5-alpha-steroid 4-dehydrogenase 2	P31213	252	4	0		
Ribonucleoside-diphosphate reductase subunit M2	P31350	38	365066	9607		
Somatostatin receptor type 4	P31391	69	3	0		
Sodium/glucose cotransporter 2	P31639	584	0	0		
Gamma-aminobutyric acid receptor subunit alpha-5	P31644	576	0	0		
Sodium-dependent serotonin transporter	P31645	2651	12157	5		
RAC-alpha serine/threonine-protein kinase	P31749	924	512563	555		
RAC-beta serine/threonine-protein kinase	P31751	370	395928	1070		
Cholecystokinin receptor type A	P32238	163	7	0		
Gastrin/cholecystokinin type B receptor	P32239	540	60	0		
Melanocortin receptor 4	P32245	1500	355916	237		
C-C chemokine receptor type 1	P32246	452	202301	448		
Bombesin receptor subtype-3	P32247	153	2	0		
Neuronal acetylcholine receptor subunit alpha-3	P32297	156	103	1		
Somatostatin receptor type 3	P32745	114	374745	3287		
Melanocortin receptor 5	P33032	179	22	0		
Cytochrome P450 2C19	P33261	15	101326	6755		
"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial"	P33316	40	93215	2330		
Multidrug resistance-associated protein 1	P33527	86	140631	1635		
Adenosine receptor A3	P33765	2277	40	0		
Dual specificity protein kinase TTK	P33981	82	192540	2348		
Gamma-aminobutyric acid receptor subunit alpha-3	P34903	583	0	0		
Bifunctional epoxide hydrolase 2	P34913	1031	90204	87		
G protein-coupled receptor kinase 5	P34947	38	367388	9668		
5-hydroxytryptamine receptor 7	P34969	699	17	0		
Cannabinoid receptor 2	P34972	2638	3679	1		
Prostaglandin E2 receptor EP1 subtype	P34995	174	1239	7		
Corticotropin-releasing factor receptor 1	P34998	1281	353797	276		
Trypsin-3	P35030	101	192904	1910		
"Carbonic anhydrase 5A, mitochondrial"	P35218	94	0	0		
"Nitric oxide synthase, inducible"	P35228	375	192883	514		
Tyrosine-protein phosphatase non-receptor type 7	P35236	79	230756	2921		
Somatostatin receptor type 5	P35346	148	401358	2712		
Alpha-1A adrenergic receptor	P35348	822	53	0		
Prostaglandin G/H synthase 2	P35354	1303	365114	280		
Histamine H1 receptor	P35367	692	25	0		
Alpha-1B adrenergic receptor	P35368	637	338572	532		
Mu-type opioid receptor	P35372	2027	349474	172		
Prostaglandin E2 receptor EP4 subtype	P35408	247	9	0		
D(3) dopamine receptor	P35462	1800	411916	229		
Sodium channel protein type 4 subunit alpha	P35499	13	0	0		
Glucokinase	P35557	316	128899	408		
"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]"	P35558	11	0	0		
Sterol O-acyltransferase 1	P35610	115	4	0		
